URL,Size (Bytes),# of Outlinks,Content-Type
https://www.nytimes.com/interactive/2023/10/27/arts/music/music-fivemins-collection.html,226899,33,text/html; charset=utf-8
https://www.nytimes.com/section/business/media,575110,49,text/html; charset=utf-8
https://www.nytimes.com/section/world/americas,673846,44,text/html; charset=utf-8
https://www.nytimes.com/section/world,1226812,84,text/html; charset=utf-8
https://www.nytimes.com/games/connections,94095,24,text/html; charset=utf-8
https://www.nytimes.com/newsletters/dealbook,109786,20,text/html; charset=utf-8
https://www.nytimes.com/ca/,1021639,312,text/html; charset=utf-8
https://www.nytimes.com/section/arts/music,683428,61,text/html; charset=utf-8
https://www.nytimes.com/athletic/live-blogs/nfl-week-5-scores-vikings-vs-jets-live-updates/G2DNH9NwSR2I/,1990789,168,text/html; charset=utf-8
https://www.nytimes.com/news-event/immigration-us,727245,45,text/html; charset=utf-8
https://www.nytimes.com/by/michelle-goldberg,575512,50,text/html; charset=utf-8
https://www.nytimes.com/column/the-interview,403458,35,text/html; charset=utf-8
https://www.nytimes.com/section/arts/television,687527,58,text/html; charset=utf-8
https://www.nytimes.com/athletic/newsletters/the-athletic-fc/,3414923,139,text/html; charset=utf-8
https://www.nytimes.com/wirecutter/reviews/best-air-purifier/,1020399,883,text/html; charset=utf-8
https://www.nytimes.com/interactive/2024/09/29/us/helene-path-map.html,243461,30,text/html; charset=utf-8
https://www.nytimes.com/athletic/5823194/2024/10/06/nfl-week-5-takeaways-buffalo-bills-offense-problems-jets-davante-adams-trade/,1826967,185,text/html; charset=utf-8
https://www.nytimes.com/section/fashion/weddings,989935,89,text/html; charset=utf-8
https://www.nytimes.com/newsletters/open-thread-fashion,109809,20,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/politics,613155,40,text/html; charset=utf-8
https://www.nytimes.com/section/world/europe,626685,41,text/html; charset=utf-8
https://www.nytimes.com/section/technology/personaltech,645678,70,text/html; charset=utf-8
https://www.nytimes.com/section/travel,666956,63,text/html; charset=utf-8
https://www.nytimes.com/spotlight/what-to-watch,767846,72,text/html; charset=utf-8
https://www.nytimes.com/section/health,1127545,68,text/html; charset=utf-8
https://www.nytimes.com/athletic/football/premier-league/,2132545,202,text/html; charset=utf-8
https://www.nytimes.com/section/opinion/business-economics,414232,44,text/html; charset=utf-8
https://www.nytimes.com/section/theater,574751,56,text/html; charset=utf-8
https://www.nytimes.com/puzzles/tiles,707738,24,text/html; charset=utf-8
